ID,SRA.ID
MD_CHW_AAN_6266,SRR2113876
MD_CHW_AAN_6242,SRR2113875
MD_CHW_AAN_6090,SRR2113870
MD_CHW_AAN_6096,SRR2113871
MD_CHW_AAN_6083,SRR2113869
MD_CHW_AAN_6049,SRR2113868
MD_CHW_AAN_6036,SRR2113867
MD_CHW_AAN_6002,SRR2113863
MD_CHW_AAN_5982,SRR2113862
MD_CHW_AAN_5973,SRR2113861
MD_CHW_AAN_5965,SRR2113860
MD_CHW_AAN_5960,SRR2113859
MD_CHW_AAN_5950,SRR2113858
MD_CHW_AAN_5911,SRR2113857
MD_CHW_AAN_5899,SRR2113855
MD_CHW_AAN_5875,SRR2113854
MD_CHW_AAN_5748,SRR2113849
MD_CHW_AAN_5588,SRR2113848
MD_CHW_AAN_5496,SRR2113847
MD_CHW_AAN_5414,SRR2113843
MD_CHW_AAN_5345,SRR2113842
MD_CHW_AAN_5340,SRR2113840
MD_CHW_AAN_5344,SRR2113841
MD_CHW_AAN_5327,SRR2113839
MD_CHW_AAN_5263,SRR2113838
MD_CHW_AAN_5259,SRR2113837
MD_CHW_AAN_5232,SRR2113836
MD_CHW_AAN_5125,SRR2113833
MD_CHW_AAN_5124,SRR2113832
MD_CHW_AAN_5107,SRR2113831
MD_CHW_AAN_5103,SRR2113830
MD_CHW_AAN_5094,SRR2113829
MD_CHW_AAN_5084,SRR2113827
MD_CHW_AAN_5088,SRR2113828
MD_CHW_AAN_5047,SRR2113826
MD_CHW_AAN_4940,SRR2113822
MD_CHW_AAN_4937,SRR2113821
MD_CHW_AAN_4935,SRR2113820
MD_CHW_AAN_4931,SRR2113819
MD_CHW_AAN_4928,SRR2113818
MD_CHW_AAN_4926,SRR2113817
MD_CHW_AAN_4920,SRR2113814
MD_CHW_AAN_4925,SRR2113816
MD_CHW_AAN_4836,SRR2113809
MD_CHW_AAN_4821,SRR2113808
MD_CHW_AAN_4766,SRR2113807
MD_CHW_AAN_4765,SRR2113806
MD_CHW_AAN_4724,SRR2113805
MD_CHW_AAN_4687,SRR2113804
MD_CHW_AAN_4514,SRR2113800
MD_CHW_AAN_4507,SRR2113799
MD_CHW_AAN_4492,SRR2113798
MD_CHW_AAN_4465,SRR2113797
MD_CHW_AAN_4464,SRR2113796
MD_CHW_AAN_4453,SRR2113795
MD_CHW_AAN_4400,SRR2113794
MD_CHW_AAN_4393,SRR2113793
MD_CHW_AAN_4392,SRR2113792
MD_CHW_AAN_4379,SRR2113791
MD_CHW_AAN_4329,SRR2113789
MD_CHW_AAN_4293,SRR2113788
MD_CHW_AAN_4288,SRR2113787
MD_CHW_AAN_4212,SRR2113786
MD_CHW_AAN_4340,SRR2113790
MD_CHW_AAN_4194,SRR2113785
MD_CHW_AAN_4193,SRR2113784
MD_CHW_AAN_3946,SRR2113782
MD_CHW_AAN_3940,SRR2113781
MD_CHW_AAN_3890,SRR2113780
MD_CHW_AAN_3746,SRR2113779
MD_CHW_AAN_3744,SRR2113778
MD_CHW_AAN_3742,SRR2113777
MD_CHW_AAN_3584,SRR2113776
MD_CHW_AAN_3372,SRR2113774
MD_CHW_AAN_3358,SRR2113773
MD_CHW_AAN_2207,SRR2113772
MD_CHW_AAN_2037,SRR2113771
MD_CHW_AAN_14232,SRR2113770
MD_CHW_AAN_14141,SRR2113769
MD_CHW_AAN_14084,SRR2113768
MD_CHW_AAN_13986,SRR2113767
MD_CHW_AAN_13378,SRR2113759
MD_CHW_AAN_13547,SRR2113760
MD_CHW_AAN_13358,SRR2113758
MD_CHW_AAN_13257,SRR2113757
MD_CHW_AAN_13149,SRR2113756
MD_CHW_AAN_13134,SRR2113755
MD_CHW_AAN_13109,SRR2113754
MD_CHW_AAN_12786,SRR2113753
MD_CHW_AAN_12683,SRR2113752
MD_CHW_AAN_12434,SRR2113750
MD_CHW_AAN_12448,SRR2113751
MD_CHW_AAN_12432,SRR2113749
MD_CHW_AAN_12253,SRR2113748
MD_CHW_AAN_12244,SRR2113747
MD_CHW_AAN_12226,SRR2113745
MD_CHW_AAN_12233,SRR2113746
MD_CHW_AAN_12169,SRR2113744
MD_CHW_AAN_12108,SRR2113743
MD_CHW_AAN_12087,SRR2113742
MD_CHW_AAN_12078,SRR2113741
MD_CHW_AAN_12058,SRR2113740
MD_CHW_AAN_12050,SRR2113739
MD_CHW_AAN_11982,SRR2113735
MD_CHW_AAN_11960,SRR2113734
MD_CHW_AAN_12037,SRR2113737
MD_CHW_AAN_11983,SRR2113736
MD_CHW_AAN_11938,SRR2113733
MD_CHW_AAN_12049,SRR2113738
MD_CHW_AAN_11927,SRR2113729
MD_CHW_AAN_11925,SRR2113728
MD_CHW_AAN_11923,SRR2113727
MD_CHW_AAN_11922,SRR2113726
MD_CHW_AAN_11915,SRR2113725
MD_CHW_AAN_11912,SRR2113724
MD_CHW_AAN_11911,SRR2113723
MD_CHW_AAN_11891,SRR2113721
MD_CHW_AAN_11904,SRR2113722
MD_CHW_AAN_11878,SRR2113720
MD_CHW_AAN_11808,SRR2113719
MD_CHW_AAN_11803,SRR2113718
MD_CHW_AAN_11800,SRR2113717
MD_CHW_AAN_11799,SRR2113716
MD_CHW_AAN_11788,SRR2113715
MD_CHW_AAN_11784,SRR2113714
MD_CHW_AAN_11783,SRR2113713
MD_CHW_AAN_11776,SRR2113712
MD_CHW_AAN_11763,SRR2113710
MD_CHW_AAN_11752,SRR2113709
MD_CHW_AAN_11772,SRR2113711
MD_CHW_AAN_11733,SRR2113708
MD_CHW_AAN_11568,SRR2113707
MD_CHW_AAN_11514,SRR2113706
MD_CHW_AAN_11182,SRR2113703
MD_CHW_AAN_11122,SRR2113702
MD_CHW_AAN_11505,SRR2113705
MD_CHW_AAN_11241,SRR2113704
MD_CHW_AAN_10640,SRR2113700
MD_CHW_AAN_10815,SRR2113701
MD_CHW_AAN_10580,SRR2113699
MD_CHW_AAN_10573,SRR2113698
MD_CHW_AAN_10497,SRR2113697
MD_CHW_AAN_10329,SRR2113696
MD_CHW_AAN_10321,SRR2113695
MD_CHW_AAN_10319,SRR2113694
