SRA.ID,nonsynonymous.private
SRR2107508,21
SRR2107509,24
SRR2107510,20
SRR2107511,26
SRR2107512,20
SRR2107513,18
SRR2107514,18
SRR2107515,30
SRR2107516,15
SRR2107517,24
SRR2107518,39
SRR2107519,35
SRR2107520,13
SRR2107521,24
SRR2107522,20
SRR2107523,19
SRR2107524,32
SRR2107525,35
SRR2107526,28
SRR2107527,1
SRR2107528,22
SRR2107529,18
SRR2107530,14
SRR2107531,22
SRR2107532,24
SRR2107533,32
SRR2107534,16
SRR2107535,33
SRR2107536,14
SRR2107537,26
SRR2107538,33
SRR2107539,14
SRR2107540,16
SRR2107541,23
SRR2107542,33
SRR2107543,44
SRR2107544,8
SRR2107545,33
SRR2107546,13
SRR2107547,18
SRR2107548,23
SRR2107549,29
SRR2107550,35
SRR2107551,1
SRR2107552,19
SRR2107553,23
SRR2107554,47
SRR2107555,34
SRR2107556,42
SRR2107557,52
SRR2107558,37
SRR2107559,32
SRR2107560,51
SRR2107562,32
SRR2107563,36
SRR2107564,70
SRR2107565,44
SRR2107566,44
SRR2107567,54
SRR2107568,40
SRR2107569,40
SRR2107570,57
SRR2107571,76
SRR2107572,57
SRR2107573,1
SRR2107574,52
SRR2107575,66
SRR2107576,53
SRR2107577,29
SRR2107578,28
SRR2107579,38
SRR2107580,35
SRR2107581,6
SRR2107582,40
SRR2107583,48
SRR2107584,45
SRR2107585,19
SRR2107586,14
SRR2107587,25
SRR2107588,28
SRR2107589,24
SRR2107590,25
SRR2107591,37
SRR2107592,42
SRR2107593,28
SRR2107594,22
SRR2107595,28
SRR2107596,24
SRR2107597,31
SRR2107598,2
SRR2107599,33
SRR2107600,66
SRR2107601,42
SRR2107602,46
SRR2107604,54
SRR2107605,47
SRR2107606,29
SRR2107607,9
SRR2107608,10
SRR2107609,13
SRR2107610,14
SRR2107611,10
SRR2107612,12
SRR2107613,13
SRR2107614,12
SRR2107615,24
SRR2107616,18
SRR2107617,29
SRR2107618,25
SRR2107619,10
SRR2107620,24
SRR2107621,10
SRR2107622,18
SRR2107623,14
SRR2107624,16
SRR2107625,18
SRR2107626,33
SRR2107627,15
SRR2107628,20
SRR2107629,4
SRR2107630,24
SRR2107631,12
SRR2107632,21
SRR2107633,11
SRR2107634,12
SRR2107635,28
SRR2107636,12
SRR2107637,19
SRR2107638,14
SRR2107639,28
SRR2107640,14
SRR2107641,27
SRR2107642,16
SRR2107643,19
SRR2107644,25
SRR2107645,14
SRR2107646,24
SRR2107647,24
SRR2107648,16
SRR2107649,16
SRR2107650,17
SRR2107651,17
SRR2107652,20
SRR2107653,31
SRR2107654,17
SRR2107655,10
SRR2107656,16
SRR2107657,14
SRR2107658,21
SRR2107659,24
SRR2107660,15
SRR2107661,5
SRR2107662,12
SRR2107663,9
SRR2107664,12
SRR2107665,24
SRR2107666,16
SRR2107667,25
SRR2107668,16
SRR2107669,18
SRR2107670,8
SRR2107671,17
SRR2107672,15
SRR2107673,12
SRR2107674,25
SRR2107675,9
SRR2107676,11
SRR2107677,27
SRR2107678,14
SRR2107679,23
SRR2107680,18
SRR2107681,7
SRR2107682,13
SRR2107683,24
SRR2107684,20
SRR2107685,24
SRR2107686,20
SRR2107687,21
SRR2107688,17
SRR2107689,5
SRR2107690,20
SRR2107691,8
SRR2107692,16
SRR2107693,14
SRR2107694,17
SRR2107695,21
SRR2107696,15
SRR2107697,20
SRR2107698,9
SRR2107699,21
